budget_scenes,b,n_trials,n_pass,empirical_pass_rate,wilson_lcb_95,best_joint_abs_psnr_gap,best_joint_abs_ssim_gap,best_joint_abs_lpips_gap,best_joint_max_ks,best_subset_manifest,rng_seed_effective
24,4,400,26,0.065,0.04474048189620037,0.06913099102278863,0.00265667101852074,0.005722811828112073,0.09908406702641295,rebuttal/manifests/rebuttal_full_sweep_b4_best_subset.csv,4
36,6,400,58,0.145,0.11387048965924289,0.23728256833649297,0.0008888661585388924,0.00011014284394988971,0.08739625737637666,rebuttal/manifests/rebuttal_full_sweep_b6_best_subset.csv,6
48,8,400,88,0.22,0.1821738927340146,0.209463373699748,0.0015698185949339916,0.00012201886246043792,0.06244083120325665,rebuttal/manifests/rebuttal_full_sweep_b8_best_subset.csv,8
60,10,400,92,0.23,0.19144383051896455,0.013576151807150438,0.003760844331105462,0.0018935373884383933,0.062160371106693174,rebuttal/manifests/rebuttal_full_sweep_b10_best_subset.csv,10
72,12,400,95,0.2375,0.19841751180740802,0.11330026972194318,0.0015198233502963232,0.0007882072379744032,0.05778424689955505,rebuttal/manifests/rebuttal_full_sweep_b12_best_subset.csv,12
84,14,400,101,0.2525,0.2124169413920716,0.17293039089821605,0.0034024987941458917,0.001407943139351553,0.05531099119568304,rebuttal/manifests/rebuttal_full_sweep_b14_best_subset.csv,14
96,16,400,113,0.2825,0.24061027235147464,0.0474377315451342,0.00012764097364614813,0.0034568799171664777,0.049024306541702166,rebuttal/manifests/rebuttal_full_sweep_b16_best_subset.csv,16
120,20,400,120,0.3,0.25716767195619705,0.1594847700208355,0.0004570795706101416,4.471147190104885e-05,0.04598362207706144,rebuttal/manifests/rebuttal_full_sweep_b20_best_subset.csv,20
