budget_scenes,b,n_trials,n_joint_pass,joint_pass_rate,joint_wilson_lcb_95,rng_seed_effective,zipnerf_n_pass,zipnerf_pass_rate,feature_splatting_n_pass,feature_splatting_pass_rate,instant_ngp_fi_n_pass,instant_ngp_fi_pass_rate,instant_ngp_oc_diagnostic_n_pass,instant_ngp_oc_diagnostic_pass_rate
24,4,400,1,0.0025,0.0004414477868016353,4,26,0.065,19,0.0475,46,0.115,30,0.075
36,6,400,4,0.01,0.0038954837949909914,6,49,0.1225,56,0.14,136,0.34,70,0.175
48,8,400,6,0.015,0.006892291919440893,8,73,0.1825,61,0.1525,160,0.4,82,0.205
60,10,400,16,0.04,0.024769063069711755,10,92,0.23,90,0.225,204,0.51,100,0.25
72,12,400,21,0.0525,0.034591528357920405,12,101,0.2525,88,0.22,209,0.5225,110,0.275
84,14,400,19,0.0475,0.03061707696271188,14,105,0.2625,107,0.2675,227,0.5675,130,0.325
96,16,400,32,0.08,0.057235750410133526,16,119,0.2975,99,0.2475,256,0.64,161,0.4025
120,20,400,26,0.065,0.04474048189620037,20,116,0.29,91,0.2275,270,0.675,155,0.3875
