dish_id,psnr,ssim,lpips,note
dish_1550704750,13.45885181427002,0.6253476738929749,0.8622121810913086,
dish_1550704903,8.130210876464844,0.48473700881004333,0.9522317051887512,
dish_1550705288,9.525452613830566,0.48935526609420776,0.9167889952659607,
dish_1550705370,9.891605377197266,0.5579109191894531,0.8524736166000366,
dish_1550705445,10.263697624206543,0.5145921111106873,0.8244327306747437,
dish_1550705477,8.785333633422852,0.5207521319389343,0.962160050868988,
dish_1550705504,7.835724830627441,0.4377343952655792,0.9662879705429077,
dish_1550705535,10.972502708435059,0.5657586455345154,0.8151376247406006,
dish_1550705580,10.872075080871582,0.5270752906799316,0.8325241804122925,
dish_1550705623,9.733479499816895,0.5642790198326111,0.9089862704277039,
dish_1550705669,9.193140029907227,0.44988974928855896,0.9358481168746948,
dish_1550705724,9.227792739868164,0.4069863557815552,0.9618138670921326,
dish_1550705786,8.811400413513184,0.5095392465591431,0.9146715998649597,
dish_1550705888,9.364363670349121,0.48329952359199524,0.8997973799705505,
dish_1550705939,9.864567756652832,0.5152199864387512,0.8422579169273376,
dish_1550705995,8.392818450927734,0.47919127345085144,0.9532766342163086,
dish_1550706037,8.099531173706055,0.5402275919914246,0.9478075504302979,
dish_1550706096,8.047792434692383,0.410502552986145,0.9082186818122864,
dish_1550706177,8.705565452575684,0.5182343125343323,0.912049412727356,
dish_1550706237,10.766463279724121,0.5512985587120056,0.8418529629707336,
dish_1550706283,9.082077980041504,0.5210393667221069,0.967725932598114,
dish_1550706325,8.33991813659668,0.4393661916255951,0.9683555364608765,
dish_1550706448,9.99630069732666,0.5260852575302124,0.848656952381134,
dish_1550706583,7.706966876983643,0.4119270443916321,0.9320570826530457,
dish_1550706639,9.455662727355957,0.3771575093269348,0.8601224422454834,
dish_1550706705,8.263866424560547,0.43218129873275757,0.9486571550369263,
dish_1550706766,9.423593521118164,0.4530744254589081,0.9282410740852356,
dish_1550706891,9.261003494262695,0.3444124758243561,0.9101733565330505,
dish_1550706945,10.345976829528809,0.5433117151260376,0.8777871131896973,
dish_1550707056,9.864368438720703,0.512266218662262,0.8742061853408813,
dish_1550707110,7.864720344543457,0.3780900239944458,0.9868350625038147,
dish_1550707156,9.511439323425293,0.5047718286514282,0.9393956661224365,
dish_1550707236,10.017843246459961,0.3946256637573242,0.9089940786361694,
dish_1550707357,9.59594440460205,0.4638877511024475,0.8710464835166931,
dish_1550707504,10.252110481262207,0.42445266246795654,0.8899363875389099,
dish_1550707578,9.856274604797363,0.45752090215682983,0.921119749546051,
dish_1550707638,9.406890869140625,0.38950130343437195,0.9415058493614197,
dish_1550707756,9.658864974975586,0.41514459252357483,0.8754259943962097,
dish_1550707850,9.992094039916992,0.5415009260177612,0.8502888679504395,
dish_1550707914,9.122800827026367,0.45009300112724304,0.9264430999755859,
dish_1550707958,8.180256843566895,0.44257959723472595,0.9752147197723389,
dish_1550707995,7.569272041320801,0.3852804899215698,0.982212483882904,
dish_1550708152,8.646052360534668,0.47273921966552734,0.8314056992530823,
dish_1550708221,10.130688667297363,0.4331207871437073,0.8366712927818298,
dish_1550708280,7.878325462341309,0.31664660573005676,0.9054150581359863,
dish_1550708327,9.060755729675293,0.4396556615829468,0.9242622256278992,
dish_1550708366,9.015702247619629,0.4663223624229431,0.9053720831871033,
dish_1550708440,9.408811569213867,0.3211410641670227,0.865094006061554,
dish_1550708487,10.264575958251953,0.4539330303668976,0.8672491312026978,
dish_1550708556,10.070083618164062,0.430087685585022,0.8503853678703308,
dish_1550708638,9.445255279541016,0.4312839210033417,0.9163995981216431,
dish_1550708702,9.143467903137207,0.3770751655101776,0.9384764432907104,
dish_1550708875,9.365883827209473,0.47826898097991943,0.8813033103942871,
dish_1550708945,8.851659774780273,0.32843106985092163,0.9037519693374634,
dish_1550708985,8.679641723632812,0.45363256335258484,0.9336857199668884,
dish_1550709028,7.659972190856934,0.4649890065193176,0.961796760559082,
dish_1550709129,8.142416000366211,0.48275163769721985,0.9408122301101685,
dish_1550710177,10.273862838745117,0.3935178816318512,0.8330024480819702,
dish_1550710207,9.480870246887207,0.48720741271972656,0.8776098489761353,
dish_1550710279,9.125648498535156,0.3972771465778351,0.9258710145950317,
dish_1550710318,8.749567985534668,0.4702901840209961,0.9324272871017456,
dish_1550710342,9.248017311096191,0.4483833312988281,0.9448022246360779,
dish_1550710402,9.36949348449707,0.3880118429660797,0.8672711849212646,
dish_1550710448,11.102529525756836,0.45890986919403076,0.8260397911071777,
dish_1550710507,9.612569808959961,0.4585438072681427,0.8889122009277344,
dish_1550710542,8.238301277160645,0.34616026282310486,0.9385248422622681,
dish_1550710577,9.51933765411377,0.40468382835388184,0.9392018914222717,
dish_1550710612,8.62816047668457,0.405987948179245,0.9138844609260559,
dish_1550710664,10.437877655029297,0.49647507071495056,0.8414445519447327,
dish_1550710715,8.918527603149414,0.46841147541999817,0.891475260257721,
dish_1550710758,8.159849166870117,0.465532124042511,0.9268901348114014,
dish_1550710793,8.561257362365723,0.45403698086738586,0.9473800659179688,
dish_1550710845,12.098614692687988,0.5649780035018921,0.753742516040802,
dish_1550710917,9.207708358764648,0.4589458405971527,0.8912423253059387,
dish_1550711017,10.09384536743164,0.5014163851737976,0.8455072641372681,
dish_1550711066,8.818056106567383,0.4741874635219574,0.9296568632125854,
dish_1550711094,9.12065601348877,0.4828374683856964,0.9544425010681152,
dish_1550711129,10.198101997375488,0.4442822337150574,0.8675740957260132,
dish_1550711187,9.746598243713379,0.47223708033561707,0.8828218579292297,
dish_1550711244,9.107706069946289,0.4016808867454529,0.8964203000068665,
dish_1550711314,9.651930809020996,0.41296905279159546,0.9315794110298157,
dish_1550711385,9.479564666748047,0.4716000258922577,0.9236400127410889,
dish_1550711488,9.801790237426758,0.42136162519454956,0.8561148047447205,
dish_1550711598,8.48193645477295,0.2845306396484375,0.8989170789718628,
dish_1550711688,10.162517547607422,0.5379019975662231,0.8520722985267639,
dish_1550711746,9.794018745422363,0.4500223696231842,0.8926149606704712,
dish_1550711788,9.300444602966309,0.4533538222312927,0.8867125511169434,
dish_1550711845,7.923366546630859,0.48864391446113586,0.9068740606307983,
dish_1550711973,8.564595222473145,0.45485079288482666,0.9118096232414246,
dish_1550712024,5.887162208557129,0.3814410865306854,0.9435597658157349,
dish_1550712079,8.546998977661133,0.4490011930465698,0.9518973231315613,
dish_1550712143,7.906723499298096,0.42945605516433716,0.948065459728241,
dish_1550712315,8.203794479370117,0.40360432863235474,0.8918004631996155,
dish_1550712369,9.082940101623535,0.35915881395339966,0.9000707268714905,
dish_1550712403,10.268682479858398,0.4220047891139984,0.8838111162185669,
dish_1550712459,9.22421646118164,0.4561759829521179,0.9347505569458008,
dish_1550712486,9.235572814941406,0.45659321546554565,0.9169474244117737,
dish_1550712524,9.637306213378906,0.4598049521446228,0.8852824568748474,
dish_1550712556,9.74820327758789,0.4163094162940979,0.8057184219360352,
dish_1550712585,7.937094688415527,0.39200374484062195,0.9473854899406433,
dish_1550712622,7.399942874908447,0.3775649666786194,0.973474383354187,
dish_1550712654,7.964317321777344,0.4448178708553314,0.943925142288208,
dish_1550712681,8.821027755737305,0.4330250322818756,0.9016938209533691,
dish_1550712729,9.35982608795166,0.41392725706100464,0.8627065420150757,
dish_1550712805,9.850162506103516,0.5361244082450867,0.8652178049087524,
dish_1550712839,8.065059661865234,0.41865360736846924,0.946571946144104,
dish_1550712877,7.775002956390381,0.4106825292110443,0.9039628505706787,
dish_1550712913,10.70950698852539,0.4986574351787567,0.8103688955307007,
dish_1550712961,7.651218414306641,0.44440460205078125,0.9097217321395874,
dish_1550713065,9.06014633178711,0.45313745737075806,0.8918858766555786,
dish_1550713114,8.274534225463867,0.422269344329834,0.9466567635536194,
dish_1550713174,9.841581344604492,0.5098354816436768,0.921252429485321,
dish_1550713388,11.223492622375488,0.5173497796058655,0.7869904637336731,
dish_1550713423,8.503726959228516,0.4308949410915375,0.8589197397232056,
dish_1550713462,10.216147422790527,0.3683467209339142,0.8594504594802856,
dish_1550713503,9.989812850952148,0.407285213470459,0.9043073654174805,
dish_1550713566,9.702591896057129,0.4192265570163727,0.8954260349273682,
dish_1550769483,9.36156177520752,0.5543301105499268,0.948639988899231,
dish_1550769725,7.891073226928711,0.3927062153816223,0.9642829895019531,
dish_1550769827,10.443670272827148,0.5075976252555847,0.8873704075813293,
dish_1550769882,8.875089645385742,0.52349853515625,0.9834643006324768,
dish_1550769948,9.312027931213379,0.5759996771812439,0.9627143740653992,
dish_1550770222,7.748042583465576,0.5745519995689392,0.8552011847496033,
dish_1550770265,10.007884979248047,0.5849874019622803,0.9253150224685669,
dish_1550770447,10.03494644165039,0.5698661804199219,0.8553553819656372,
dish_1550770482,7.331425189971924,0.4952099919319153,0.9115949273109436,
dish_1550770511,7.540030002593994,0.5100929737091064,0.8989502191543579,
dish_1550770616,10.329967498779297,0.5175154209136963,0.8380107879638672,
dish_1550770699,8.536273956298828,0.3576198220252991,0.924685001373291,
dish_1550770751,9.27380084991455,0.42300736904144287,0.9058963060379028,
dish_1550770802,9.345317840576172,0.4992508292198181,0.9720370173454285,
dish_1550770866,9.91689682006836,0.5240620374679565,0.9826964735984802,
dish_1550771191,7.673995494842529,0.4530702829360962,0.9259381294250488,
dish_1550771267,7.265313148498535,0.43453097343444824,0.9083282947540283,
dish_1550771330,10.229595184326172,0.4463706910610199,0.858719527721405,
dish_1550771387,7.711874008178711,0.5071352124214172,0.9475795030593872,
dish_1550771421,8.315447807312012,0.44065847992897034,0.9697811603546143,
dish_1550771487,9.897886276245117,0.47203773260116577,0.8565971255302429,
dish_1550771562,8.862665176391602,0.4079463481903076,0.9768449664115906,
dish_1550771606,10.315042495727539,0.5501248836517334,0.83882737159729,
dish_1550771648,8.972831726074219,0.4700526297092438,0.9659928679466248,
dish_1550771707,8.659157752990723,0.4841671288013458,0.9862813353538513,
dish_1550771796,8.20945930480957,0.43099164962768555,0.9673548340797424,
dish_1550771869,8.071929931640625,0.5497111082077026,0.9226267337799072,
dish_1550771938,8.425722122192383,0.4886879622936249,0.96603924036026,
dish_1550771984,7.22863245010376,0.46614980697631836,0.9616984724998474,
dish_1550772027,7.124855041503906,0.5161508917808533,0.9382228851318359,
dish_1550772088,8.359244346618652,0.4277718961238861,0.9386398792266846,
dish_1550772168,9.20898723602295,0.34480348229408264,0.9039449691772461,
dish_1550772199,7.858628273010254,0.4062885642051697,0.9388806819915771,
dish_1550772270,6.801201820373535,0.42871126532554626,0.9871068596839905,
dish_1550772314,7.120115280151367,0.4319190979003906,1.008512020111084,
dish_1550772367,9.262405395507812,0.5926591753959656,0.9521850347518921,
dish_1550772454,8.485873222351074,0.49887171387672424,0.8909723162651062,
dish_1550772505,9.229893684387207,0.45862317085266113,0.9329574108123779,
dish_1550772551,7.552340030670166,0.49739953875541687,0.9622191786766052,
dish_1550772617,6.919105052947998,0.45679354667663574,0.947659969329834,
dish_1550772701,8.716753959655762,0.47679686546325684,0.963333249092102,
dish_1550772753,9.648509979248047,0.5360494256019592,0.8704675436019897,
dish_1550772809,8.462531089782715,0.5232604742050171,0.9419869184494019,
dish_1550772849,8.557689666748047,0.5077620148658752,0.9510082006454468,
dish_1550772892,7.109668731689453,0.47456973791122437,0.9833892583847046,
dish_1550772960,7.9913835525512695,0.38034358620643616,0.9203822016716003,
dish_1550773038,7.8762922286987305,0.43258777260780334,0.9294360280036926,
dish_1550773162,9.061121940612793,0.46861666440963745,0.9060207009315491,
dish_1550773200,7.039900302886963,0.4452785551548004,0.9202696084976196,
dish_1550773284,6.698701858520508,0.5060670375823975,0.9396644234657288,
dish_1550773349,9.074176788330078,0.5184468030929565,0.95023512840271,
dish_1550773394,7.876657485961914,0.4488484263420105,0.944167971611023,
dish_1550773430,10.402100563049316,0.4788515567779541,0.8730384111404419,
dish_1550773506,8.323934555053711,0.44296252727508545,0.9785155057907104,
dish_1550773591,7.915060043334961,0.4070238471031189,0.9964272379875183,
dish_1550773771,8.445178985595703,0.3832426071166992,0.9302277565002441,
dish_1550773839,7.348172664642334,0.43469372391700745,0.9567448496818542,
dish_1550773917,9.353041648864746,0.45935824513435364,0.8758357167243958,
dish_1550773949,8.078765869140625,0.5165560841560364,0.9532186388969421,
dish_1550773995,7.383345603942871,0.48675063252449036,0.9430845975875854,
dish_1550774244,10.745438575744629,0.5593278408050537,0.7925276756286621,
dish_1550774296,8.590606689453125,0.4372345507144928,0.9827807545661926,
dish_1550774815,8.372543334960938,0.6126245856285095,0.885698139667511,
dish_1550774895,9.285898208618164,0.4887617826461792,0.9577034115791321,
dish_1550775126,7.415998458862305,0.47784310579299927,0.9816874861717224,
dish_1550775219,12.353296279907227,0.6360275745391846,0.7432848215103149,
dish_1550775273,7.869352340698242,0.4710400104522705,0.8959949612617493,
dish_1550775318,8.725473403930664,0.559554398059845,0.8949426412582397,
