dish_id,psnr,ssim,lpips,note
dish_1550704750,12.739333152770996,0.5504488348960876,0.7707691192626953,
dish_1550704903,18.730907440185547,0.741878867149353,0.496615469455719,
dish_1550705288,22.56060028076172,0.7962424755096436,0.4251679480075836,
dish_1550705370,20.166980743408203,0.7853413224220276,0.447648823261261,
dish_1550705445,21.841053009033203,0.7981652617454529,0.4147992730140686,
dish_1550705477,19.964561462402344,0.731914758682251,0.43399056792259216,
dish_1550705504,19.8676815032959,0.7308472394943237,0.4501933157444,
dish_1550705535,21.68768310546875,0.7915724515914917,0.4255034625530243,
dish_1550705580,21.376697540283203,0.7898150682449341,0.42885154485702515,
dish_1550705623,19.880945205688477,0.7655164003372192,0.4528631269931793,
dish_1550705669,20.545562744140625,0.7484570741653442,0.4354354739189148,
dish_1550705724,21.111637115478516,0.7409123182296753,0.4263971447944641,
dish_1550705786,19.375234603881836,0.7265440821647644,0.4820781648159027,
dish_1550705888,19.70902442932129,0.7573139071464539,0.4729515612125397,
dish_1550705939,21.6929931640625,0.8029240369796753,0.4364849627017975,
dish_1550705995,20.432708740234375,0.716430127620697,0.46834319829940796,
dish_1550706037,19.863265991210938,0.7116981744766235,0.4625742733478546,
dish_1550706096,19.341909408569336,0.7477887868881226,0.4682919979095459,
dish_1550706177,13.528717994689941,0.6301528215408325,0.6685585379600525,
dish_1550706237,22.330123901367188,0.7919566035270691,0.4339720606803894,
dish_1550706283,19.52096176147461,0.6810230016708374,0.449601411819458,
dish_1550706325,18.2938232421875,0.6677396297454834,0.45995816588401794,
dish_1550706448,18.610200881958008,0.7536338567733765,0.45508426427841187,
dish_1550706583,19.059114456176758,0.7151581645011902,0.48173967003822327,
dish_1550706639,19.67558479309082,0.7596784830093384,0.4722679853439331,
dish_1550706705,18.747331619262695,0.6886327266693115,0.4652068316936493,
dish_1550706766,19.45046043395996,0.7131361961364746,0.438558965921402,
dish_1550706891,20.039955139160156,0.7705381512641907,0.44470369815826416,
dish_1550706945,20.872684478759766,0.7419594526290894,0.46062320470809937,
dish_1550707056,21.391054153442383,0.7593015432357788,0.4635325074195862,
dish_1550707110,19.5745849609375,0.6834890842437744,0.4589097499847412,
dish_1550707156,20.56717300415039,0.693208634853363,0.44935959577560425,
dish_1550707236,21.424592971801758,0.7358181476593018,0.4397447407245636,
dish_1550707357,20.708282470703125,0.7588626146316528,0.4533673822879791,
dish_1550707504,22.645153045654297,0.8005016446113586,0.40951451659202576,
