rank,recommended,budget_per_cluster,total_subset_size,feasible,reason,joint_pass_rate,joint_pass_rate_lcb,best_global_pass,best_per_cluster_pass,exp_abs_oc_psnr,exp_abs_oc_ssim,exp_abs_fi_psnr,exp_abs_fi_ssim,p95_abs_oc_psnr,p95_abs_oc_ssim,p95_abs_fi_psnr,p95_abs_fi_ssim,exp_runtime_mean,p95_runtime_mean,best_runtime_mean,max_per_cluster_psnr_gap_best,max_per_cluster_ssim_gap_best,best_objective,best_manifest
1,True,8,48,True,,0.1075,0.08079372047159449,True,False,0.6281236846667673,0.019660665492831172,0.4463692830218892,0.010372036604231494,1.5582416809650792,0.0485395291119744,1.0318185150587125,0.024606059358634955,,,,2.987667990668534,0.13390229954299604,0.885613786547093,sweep_cluster_k/budget_sweep_k6_auto_v2/manifests/subset_budget_8.csv
2,False,6,36,True,,0.06,0.0406479701137247,True,False,0.7822279926681857,0.02383571209328721,0.4842989416668088,0.011303630315455653,1.7913149025885111,0.05707893679755421,1.1746620582611418,0.02871276797084411,,,,1.9802644600671435,0.1060445636671703,0.6460085612925792,sweep_cluster_k/budget_sweep_k6_auto_v2/manifests/subset_budget_6.csv
3,False,4,24,True,,0.035,0.02096129419797776,True,False,0.8939755384684617,0.029003142827921723,0.5411126741081599,0.01437511721013587,2.12079537473018,0.0678967445787348,1.3222671611785044,0.034371204879989126,,,,2.7777167233753453,0.10878165577196974,0.9012808285481526,sweep_cluster_k/budget_sweep_k6_auto_v2/manifests/subset_budget_4.csv
4,False,2,12,True,,0.0075,0.0025538891952499414,False,False,1.3325823479320824,0.04235644582141937,0.6639269634029532,0.01921947886181226,3.2719522379718446,0.10685135732527608,1.6030147460097575,0.04693228413751088,,,,5.238728621374655,0.16303058075303023,2.15226011847049,sweep_cluster_k/budget_sweep_k6_auto_v2/manifests/subset_budget_2.csv
