budget_scenes,k,b,n_trials,n_pass,empirical_pass_rate,wilson_lcb_95,psnr_mean_gap,ssim_mean_gap,lpips_mean_gap,max_ks,best_subset_manifest
48,6,8,400,88,0.22,0.1821738927340146,0.209463373699748,0.0015698185949339916,0.00012201886246043792,0.06244083120325665,results/strong_accept/manifests/rass_joint_k6_b8_best_subset.csv
60,6,10,400,92,0.23,0.19144383051896455,0.013576151807150438,0.003760844331105462,0.0018935373884383933,0.062160371106693174,results/strong_accept/manifests/rass_joint_k6_b10_best_subset.csv
72,6,12,400,95,0.2375,0.19841751180740802,0.11330026972194318,0.0015198233502963232,0.0007882072379744032,0.05778424689955505,results/strong_accept/manifests/rass_joint_k6_b12_best_subset.csv
96,6,16,400,113,0.2825,0.24061027235147464,0.0474377315451342,0.00012764097364614813,0.0034568799171664777,0.049024306541702166,results/strong_accept/manifests/rass_joint_k6_b16_best_subset.csv
120,6,20,400,120,0.3,0.25716767195619705,0.1594847700208355,0.0004570795706101416,4.471147190104885e-05,0.04598362207706144,results/strong_accept/manifests/rass_joint_k6_b20_best_subset.csv
